 2019/04/22 00:00:01 10.61.129.1     817.13
 2019/04/22 00:00:02 10.61.131.1     890.56
 2019/04/22 00:00:02 10.61.6.1       899.19
 2019/04/22 00:00:03 10.56.41.193    862.67
 2019/04/22 00:00:04 10.61.128.1     843.95
 2019/04/22 00:00:05 10.61.129.144   840.67
 2019/04/22 00:00:11 10.61.2.1       0s
 2019/04/22 00:00:17 10.56.41.161    0s
 2019/04/22 00:00:18 10.61.130.1     876.31
 2019/04/22 00:00:24 10.61.133.1     0s
 2019/04/22 00:00:30 10.61.8.1       0s
 2019/04/22 00:00:36 10.43.203.65    0s
 2019/04/22 00:00:42 10.61.1.1       0s
 2019/04/22 00:00:48 10.61.132.1     0s
 2019/04/22 00:00:49 10.61.129.144   874.62
 2019/04/22 00:00:50 10.61.130.1     919.99
 2019/04/22 00:00:56 10.61.132.1     0s
 2019/04/22 00:01:02 10.56.41.161    0s
 2019/04/22 00:01:03 10.61.129.1     955.41
 2019/04/22 00:01:09 10.61.133.1     0s
 2019/04/22 00:01:15 10.61.2.1       0s
 2019/04/22 00:01:21 10.43.203.65    0s
 2019/04/22 00:01:27 10.61.1.1       0s
 2019/04/22 00:01:28 10.61.131.1     925.31
 2019/04/22 00:01:34 10.61.8.1       0s
 2019/04/22 00:01:35 10.56.41.193    865.33
 2019/04/22 00:01:36 10.61.128.1     841.62
 2019/04/22 00:01:37 10.61.6.1       1.0815
 2019/04/22 00:10:06 10.61.132.1     0s
 2019/04/22 00:10:12 10.43.203.65    0s
 2019/04/22 00:10:18 10.56.41.161    0s
 2019/04/22 00:10:19 10.61.128.1     854.53
 2019/04/22 00:10:20 10.61.6.1       954.74
 2019/04/22 00:10:21 10.61.129.144   891.76
 2019/04/22 00:10:22 10.61.130.1     822.88
 2019/04/22 00:10:28 10.61.2.1       0s
 2019/04/22 00:10:29 10.61.131.1     804.65
 2019/04/22 00:10:35 10.61.133.1     0s
 2019/04/22 00:10:36 10.56.41.193    871.75
 2019/04/22 00:10:42 10.61.1.1       0s
 2019/04/22 00:10:43 10.61.129.1     880.21
 2019/04/22 00:10:49 10.61.8.1       0s
 2019/04/22 00:20:01 10.56.41.193    865.30
 2019/04/22 00:20:02 10.61.128.1     985.26
 2019/04/22 00:20:04 10.61.129.144   1.1312
 2019/04/22 00:20:10 10.61.133.1     0s
 2019/04/22 00:20:16 10.56.41.161    0s
 2019/04/22 00:20:17 10.61.129.1     963.92
 2019/04/22 00:20:18 10.61.131.1     961.66
 2019/04/22 00:20:24 10.43.203.65    0s
 2019/04/22 00:20:30 10.61.1.1       0s
 2019/04/22 00:20:30 10.61.130.1     825.21
 2019/04/22 00:20:36 10.61.132.1     0s
 2019/04/22 00:20:42 10.61.2.1       0s
 2019/04/22 00:20:43 10.61.6.1       969.17
 2019/04/22 00:20:49 10.61.8.1       0s
 2019/04/22 00:30:06 10.61.8.1       0s
