 2018/11/16 00:01:06 10.56.41.193    895.68
 2018/11/16 00:01:07 10.61.129.1     1.0606
 2018/11/16 00:01:08 10.61.129.144   927.71
 2018/11/16 00:01:08 10.61.131.1     838.72
 2018/11/16 00:01:14 10.61.133.1     0s
 2018/11/16 00:01:20 10.61.8.1       0s
 2018/11/16 00:01:26 10.56.41.161    0s
 2018/11/16 00:01:27 10.61.128.1     853.72
 2018/11/16 00:01:28 10.61.130.1     895.74
 2018/11/16 00:01:34 10.61.132.1     0s
 2018/11/16 00:01:40 10.61.2.1       0s
 2018/11/16 00:01:46 10.61.6.1       0s
 2018/11/16 00:01:52 10.61.1.1       0s
 2018/11/16 00:09:53 10.61.130.1     845.70
 2018/11/16 00:09:59 10.61.132.1     0s
 2018/11/16 00:10:05 10.61.2.1       0s
 2018/11/16 00:10:11 10.61.6.1       0s
 2018/11/16 00:10:17 10.61.1.1       0s
 2018/11/16 00:10:18 10.61.128.1     904.67
 2018/11/16 00:10:19 10.61.129.1     860.74
 2018/11/16 00:10:20 10.61.129.144   945.69
 2018/11/16 00:10:21 10.61.131.1     861.71
 2018/11/16 00:10:27 10.61.133.1     0s
 2018/11/16 00:10:33 10.61.8.1       0s
 2018/11/16 00:10:39 10.56.41.161    0s
 2018/11/16 00:10:40 10.56.41.193    930.67
 2018/11/16 00:18:46 10.61.1.1       0s
 2018/11/16 00:18:46 10.61.128.1     839.71
 2018/11/16 00:18:47 10.61.130.1     870.71
 2018/11/16 00:18:53 10.61.132.1     0s
 2018/11/16 00:18:59 10.61.2.1       0s
 2018/11/16 00:19:05 10.61.6.1       0s
 2018/11/16 00:19:11 10.61.8.1       0s
 2018/11/16 00:19:17 10.56.41.161    0s
 2018/11/16 00:19:18 10.56.41.193    855.72
 2018/11/16 00:19:19 10.61.129.1     904.70
 2018/11/16 00:19:20 10.61.129.144   993.68
 2018/11/16 00:19:21 10.61.131.1     861.75
 2018/11/16 00:19:27 10.61.133.1     0s
 2018/11/16 00:27:33 10.61.1.1       0s
 2018/11/16 00:27:34 10.61.128.1     836.70
 2018/11/16 00:27:35 10.61.130.1     842.72
 2018/11/16 00:27:41 10.61.132.1     0s
 2018/11/16 00:27:47 10.61.2.1       0s
 2018/11/16 00:27:53 10.61.6.1       0s
 2018/11/16 00:27:59 10.56.41.161    0s
 2018/11/16 00:28:00 10.56.41.193    909.69
 2018/11/16 00:28:01 10.61.129.1     859.70
 2018/11/16 00:28:01 10.61.129.144   858.71
 2018/11/16 00:28:02 10.61.131.1     838.73
 2018/11/16 00:28:08 10.61.133.1     0s
 2018/11/16 00:28:14 10.61.8.1       0s
 2018/11/16 00:36:20 10.61.1.1       0s
 2018/11/16 00:36:21 10.61.128.1     855.75
