 2018/12/24 16:49:00 10.61.129.144   830.69
 2018/12/24 16:49:01 10.61.130.1     822.32
 2018/12/24 16:49:02 10.61.131.1     885.44
 2018/12/24 16:49:03 10.61.132.1     886.70
 2018/12/24 16:49:09 10.61.133.1     0s
 2018/12/24 16:49:15 10.61.2.1       0s
 2018/12/24 16:49:21 10.61.1.1       0s
 2018/12/24 16:49:22 10.61.129.1     966.63
 2018/12/24 16:49:23 10.61.6.1       975.08
 2018/12/24 16:49:29 10.61.8.1       0s
 2018/12/24 16:49:29 10.61.128.1     835.75
 2018/12/24 16:49:35 10.56.41.161    0s
 2018/12/24 16:49:37 10.56.41.193    1.0867
 2018/12/24 16:54:59 10.56.41.193    873.79
 2018/12/24 16:55:00 10.61.128.1     838.02
 2018/12/24 16:55:01 10.61.129.144   841.11
 2018/12/24 16:55:02 10.61.132.1     854.07
 2018/12/24 16:55:08 10.61.2.1       0s
 2018/12/24 16:55:14 10.61.133.1     0s
 2018/12/24 16:55:15 10.61.6.1       921.98
 2018/12/24 16:55:21 10.61.8.1       0s
 2018/12/24 16:55:27 10.56.41.161    0s
 2018/12/24 16:55:33 10.61.1.1       0s
 2018/12/24 16:55:34 10.61.129.1     869.02
 2018/12/24 16:55:35 10.61.130.1     869.55
 2018/12/24 16:55:36 10.61.131.1     871.62
 2018/12/24 17:03:37 10.61.130.1     853.50
 2018/12/24 17:03:37 10.61.131.1     837.10
 2018/12/24 17:03:43 10.61.133.1     0s
 2018/12/24 17:03:44 10.61.6.1       1.0213
 2018/12/24 17:03:50 10.61.8.1       0s
 2018/12/24 17:03:56 10.56.41.161    0s
 2018/12/24 17:04:02 10.61.1.1       0s
 2018/12/24 17:04:03 10.61.129.1     840.22
 2018/12/24 17:04:04 10.61.132.1     810.97
 2018/12/24 17:04:10 10.61.2.1       0s
 2018/12/24 17:04:11 10.56.41.193    920.63
 2018/12/24 17:04:12 10.61.128.1     823.05
 2018/12/24 17:04:13 10.61.129.144   837.00
 2018/12/24 17:12:14 10.61.129.144   871.76
 2018/12/24 17:12:14 10.61.132.1     849.10
 2018/12/24 17:12:20 10.61.2.1       0s
 2018/12/24 17:12:21 10.56.41.193    866.40
 2018/12/24 17:12:22 10.61.128.1     854.92
 2018/12/24 17:12:23 10.61.129.1     848.71
 2018/12/24 17:12:24 10.61.130.1     834.45
 2018/12/24 17:12:25 10.61.131.1     847.70
 2018/12/24 17:12:31 10.61.133.1     0s
 2018/12/24 17:12:32 10.61.6.1       944.60
 2018/12/24 17:12:38 10.61.8.1       0s
 2018/12/24 17:12:44 10.56.41.161    0s
 2018/12/24 17:12:50 10.61.1.1       0s
 2018/12/24 17:20:51 10.61.132.1     892.66
 2018/12/24 17:20:57 10.61.2.1       0s
 2018/12/24 17:20:58 10.56.41.193    1.1476
 2018/12/24 17:20:59 10.61.128.1     926.98
 2018/12/24 17:20:59 10.61.129.144   835.60
 2018/12/24 17:21:00 10.61.130.1     925.21
 2018/12/24 17:21:01 10.61.131.1     894.95
 2018/12/24 17:21:07 10.61.133.1     0s
 2018/12/24 17:21:08 10.61.6.1       990.87
 2018/12/24 17:21:14 10.61.8.1       0s
 2018/12/24 17:21:20 10.56.41.161    0s
 2018/12/24 17:21:26 10.61.1.1       0s
 2018/12/24 17:21:27 10.61.129.1     855.88
 2018/12/24 17:29:33 10.61.2.1       0s
 2018/12/24 17:29:34 10.56.41.193    852.91
 2018/12/24 17:29:35 10.61.128.1     827.71
 2018/12/24 17:29:36 10.61.129.144   980.85
 2018/12/24 17:29:37 10.61.132.1     828.41
 2018/12/24 17:29:37 10.61.131.1     802.09
 2018/12/24 17:29:43 10.61.133.1     0s
 2018/12/24 17:29:44 10.61.6.1       935.85
 2018/12/24 17:29:50 10.61.8.1       0s
 2018/12/24 17:29:56 10.56.41.161    0s
 2018/12/24 17:30:02 10.61.1.1       0s
 2018/12/24 17:30:03 10.61.129.1     968.87
 2018/12/24 17:30:04 10.61.130.1     842.20
 2018/12/24 17:38:10 10.61.133.1     0s
 2018/12/24 17:38:11 10.61.6.1       1.1357
 2018/12/24 17:38:17 10.61.8.1       0s
 2018/12/24 17:38:23 10.56.41.161    0s
 2018/12/24 17:38:29 10.61.1.1       0s
 2018/12/24 17:38:30 10.61.129.1     856.10
 2018/12/24 17:38:31 10.61.130.1     959.11
 2018/12/24 17:38:32 10.61.131.1     873.62
 2018/12/24 17:38:33 10.56.41.193    836.42
 2018/12/24 17:38:34 10.61.128.1     850.12
 2018/12/24 17:38:35 10.61.129.144   837.43
 2018/12/24 17:38:35 10.61.132.1     812.51
 2018/12/24 17:38:41 10.61.2.1       0s
 2018/12/24 17:46:47 10.61.2.1       0s
 2018/12/24 17:46:48 10.56.41.193    816.37
