 2018/11/09 00:10:09 10.61.128.1     821.28
 2018/11/09 00:10:10 10.61.129.1     902.63
 2018/11/09 00:10:11 10.61.130.1     838.40
 2018/11/09 00:10:12 10.61.131.1     813.96
 2018/11/09 00:10:18 10.61.132.1     0s
 2018/11/09 00:10:24 10.56.41.161    0s
 2018/11/09 00:10:25 10.56.41.193    845.02
 2018/11/09 00:10:31 10.61.1.1       0s
 2018/11/09 00:10:37 10.61.8.1       0s
 2018/11/09 00:10:43 10.61.133.1     0s
 2018/11/09 00:10:49 10.61.2.1       0s
 2018/11/09 00:10:55 10.61.6.1       0s
 2018/11/09 00:10:56 10.61.129.144   814.43
 2018/11/09 00:18:57 10.56.41.193    872.11
 2018/11/09 00:19:03 10.61.1.1       0s
 2018/11/09 00:19:03 10.61.128.1     813.52
 2018/11/09 00:19:04 10.61.129.1     806.53
 2018/11/09 00:19:05 10.61.130.1     1.0153
 2018/11/09 00:19:06 10.61.131.1     837.13
 2018/11/09 00:19:12 10.61.132.1     0s
 2018/11/09 00:19:18 10.56.41.161    0s
 2018/11/09 00:19:24 10.61.2.1       0s
 2018/11/09 00:19:30 10.61.6.1       0s
 2018/11/09 00:19:36 10.61.8.1       0s
 2018/11/09 00:19:42 10.61.133.1     0s
 2018/11/09 00:19:43 10.61.129.144   833.50
 2018/11/09 00:27:44 10.61.129.144   828.19
 2018/11/09 00:27:45 10.61.130.1     916.60
 2018/11/09 00:27:46 10.61.131.1     833.18
 2018/11/09 00:27:52 10.61.132.1     0s
 2018/11/09 00:27:58 10.56.41.161    0s
 2018/11/09 00:27:58 10.56.41.193    821.75
 2018/11/09 00:28:04 10.61.1.1       0s
 2018/11/09 00:28:05 10.61.128.1     796.35
 2018/11/09 00:28:06 10.61.129.1     807.85
 2018/11/09 00:28:12 10.61.133.1     0s
 2018/11/09 00:28:18 10.61.2.1       0s
 2018/11/09 00:28:24 10.61.6.1       0s
 2018/11/09 00:28:30 10.61.8.1       0s
 2018/11/09 00:36:31 10.61.131.1     804.81
 2018/11/09 00:36:37 10.61.132.1     0s
 2018/11/09 00:36:43 10.56.41.161    0s
 2018/11/09 00:36:44 10.56.41.193    955.83
 2018/11/09 00:36:50 10.61.1.1       0s
 2018/11/09 00:36:51 10.61.128.1     801.60
 2018/11/09 00:36:52 10.61.129.1     833.08
 2018/11/09 00:36:52 10.61.130.1     830.65
 2018/11/09 00:36:58 10.61.133.1     0s
 2018/11/09 00:37:04 10.61.2.1       0s
 2018/11/09 00:37:10 10.61.6.1       0s
 2018/11/09 00:37:16 10.61.8.1       0s
 2018/11/09 00:37:17 10.61.129.144   811.55
 2018/11/09 00:45:18 10.61.128.1     822.72
 2018/11/09 00:45:19 10.61.129.1     829.40
 2018/11/09 00:45:20 10.61.130.1     817.09
 2018/11/09 00:45:21 10.61.131.1     828.23
 2018/11/09 00:45:27 10.61.132.1     0s
 2018/11/09 00:45:33 10.56.41.161    0s
 2018/11/09 00:45:33 10.56.41.193    888.39
 2018/11/09 00:45:39 10.61.1.1       0s
 2018/11/09 00:45:45 10.61.8.1       0s
 2018/11/09 00:45:51 10.61.133.1     0s
 2018/11/09 00:45:57 10.61.2.1       0s
 2018/11/09 00:46:03 10.61.6.1       0s
 2018/11/09 00:46:04 10.61.129.144   898.48
 2018/11/09 00:54:05 10.61.129.144   825.38
 2018/11/09 00:54:06 10.61.130.1     862.08
 2018/11/09 00:54:07 10.61.131.1     847.77
 2018/11/09 00:54:13 10.61.132.1     0s
 2018/11/09 00:54:19 10.56.41.161    0s
 2018/11/09 00:54:20 10.56.41.193    838.76
 2018/11/09 00:54:26 10.61.1.1       0s
 2018/11/09 00:54:27 10.61.128.1     827.24
 2018/11/09 00:54:28 10.61.129.1     900.09
 2018/11/09 00:54:34 10.61.133.1     0s
 2018/11/09 00:54:40 10.61.2.1       0s
 2018/11/09 00:54:46 10.61.6.1       0s
 2018/11/09 00:54:52 10.61.8.1       0s
 2018/11/09 01:02:52 10.61.129.144   801.59
 2018/11/09 01:02:58 10.61.132.1     0s
 2018/11/09 01:03:04 10.56.41.161    0s
 2018/11/09 01:03:05 10.56.41.193    857.18
 2018/11/09 01:03:11 10.61.1.1       0s
 2018/11/09 01:03:12 10.61.128.1     800.12
 2018/11/09 01:03:13 10.61.129.1     830.49
 2018/11/09 01:03:14 10.61.130.1     809.72
 2018/11/09 01:03:15 10.61.131.1     844.23
 2018/11/09 01:03:21 10.61.133.1     0s
 2018/11/09 01:03:27 10.61.2.1       0s
 2018/11/09 01:03:33 10.61.6.1       0s
 2018/11/09 01:03:39 10.61.8.1       0s
 2018/11/09 01:08:04 10.61.130.1     1.0138
 2018/11/09 01:08:04 10.61.131.1     866.04
 2018/11/09 01:08:10 10.61.2.1       0s
 2018/11/09 01:08:17 10.61.6.1       0s
 2018/11/09 01:08:23 10.56.41.161    0s
 2018/11/09 01:08:23 10.56.41.193    908.76
