 2018/11/15 00:02:17 10.61.129.1     918.67
 2018/11/15 00:02:18 10.61.130.1     940.69
 2018/11/15 00:02:19 10.61.131.1     908.70
 2018/11/15 00:02:25 10.61.132.1     0s
 2018/11/15 00:02:31 10.61.6.1       0s
 2018/11/15 00:02:37 10.61.8.1       0s
 2018/11/15 00:02:38 10.61.128.1     867.68
 2018/11/15 00:02:39 10.56.41.193    919.70
 2018/11/15 00:02:45 10.61.1.1       0s
 2018/11/15 00:02:46 10.61.129.144   901.70
 2018/11/15 00:02:52 10.61.133.1     0s
 2018/11/15 00:02:58 10.61.2.1       0s
 2018/11/15 00:03:04 10.56.41.161    0s
 2018/11/15 00:06:44 10.61.131.1     887.69
 2018/11/15 00:06:50 10.61.132.1     0s
 2018/11/15 00:06:56 10.61.6.1       0s
 2018/11/15 00:07:02 10.61.8.1       0s
 2018/11/15 00:07:03 10.61.128.1     893.68
 2018/11/15 00:07:04 10.61.129.1     1.0016
 2018/11/15 00:07:05 10.61.130.1     917.70
 2018/11/15 00:07:06 10.61.129.144   1.0136
 2018/11/15 00:07:12 10.61.133.1     0s
 2018/11/15 00:07:18 10.61.2.1       0s
 2018/11/15 00:07:24 10.56.41.161    0s
 2018/11/15 00:07:25 10.56.41.193    960.65
 2018/11/15 00:07:31 10.61.1.1       0s
 2018/11/15 00:15:37 10.61.1.1       0s
 2018/11/15 00:15:38 10.61.129.144   1.0896
 2018/11/15 00:15:44 10.61.133.1     0s
 2018/11/15 00:15:50 10.61.2.1       0s
 2018/11/15 00:15:56 10.56.41.161    0s
 2018/11/15 00:15:57 10.56.41.193    881.69
 2018/11/15 00:15:58 10.61.130.1     924.69
 2018/11/15 00:15:59 10.61.131.1     880.71
 2018/11/15 00:16:05 10.61.132.1     0s
 2018/11/15 00:16:11 10.61.6.1       0s
 2018/11/15 00:16:17 10.61.8.1       0s
 2018/11/15 00:16:18 10.61.128.1     830.69
 2018/11/15 00:16:19 10.61.129.1     936.69
 2018/11/15 00:24:25 10.61.8.1       0s
 2018/11/15 00:24:26 10.61.128.1     882.68
 2018/11/15 00:24:27 10.61.129.1     900.70
 2018/11/15 00:24:28 10.61.130.1     1.0726
 2018/11/15 00:24:29 10.61.131.1     894.70
 2018/11/15 00:24:35 10.61.132.1     0s
 2018/11/15 00:24:41 10.61.6.1       0s
 2018/11/15 00:24:47 10.56.41.161    0s
 2018/11/15 00:24:48 10.56.41.193    1.1046
 2018/11/15 00:24:54 10.61.1.1       0s
 2018/11/15 00:24:55 10.61.129.144   943.68
 2018/11/15 00:25:01 10.61.133.1     0s
 2018/11/15 00:25:07 10.61.2.1       0s
 2018/11/15 00:33:13 10.56.41.161    0s
 2018/11/15 00:33:14 10.56.41.193    955.66
 2018/11/15 00:33:20 10.61.1.1       0s
 2018/11/15 00:33:21 10.61.129.144   1.4165
 2018/11/15 00:33:27 10.61.133.1     0s
 2018/11/15 00:33:33 10.61.2.1       0s
 2018/11/15 00:33:34 10.61.128.1     892.67
 2018/11/15 00:33:35 10.61.129.1     1.0856
 2018/11/15 00:33:36 10.61.130.1     862.71
 2018/11/15 00:33:37 10.61.131.1     948.69
 2018/11/15 00:33:43 10.61.132.1     0s
 2018/11/15 00:33:49 10.61.6.1       0s
 2018/11/15 00:33:55 10.61.8.1       0s
 2018/11/15 00:41:56 10.61.129.144   894.67
 2018/11/15 00:42:02 10.61.133.1     0s
 2018/11/15 00:42:08 10.61.2.1       0s
 2018/11/15 00:42:14 10.56.41.161    0s
 2018/11/15 00:42:15 10.56.41.193    927.68
 2018/11/15 00:42:21 10.61.1.1       0s
 2018/11/15 00:42:22 10.61.131.1     909.69
 2018/11/15 00:42:28 10.61.132.1     0s
 2018/11/15 00:42:34 10.61.6.1       0s
 2018/11/15 00:42:40 10.61.8.1       0s
 2018/11/15 00:42:41 10.61.128.1     903.67
 2018/11/15 00:42:41 10.61.129.1     954.69
 2018/11/15 00:42:42 10.61.130.1     907.70
 2018/11/15 00:50:48 10.56.41.161    0s
 2018/11/15 00:50:50 10.56.41.193    1.7883
 2018/11/15 00:50:56 10.61.1.1       0s
 2018/11/15 00:50:57 10.61.129.144   909.67
 2018/11/15 00:51:03 10.61.133.1     0s
 2018/11/15 00:51:09 10.61.2.1       0s
 2018/11/15 00:51:15 10.61.8.1       0s
 2018/11/15 00:51:16 10.61.128.1     904.67
 2018/11/15 00:51:17 10.61.129.1     944.69
 2018/11/15 00:51:18 10.61.130.1     918.7m
 2018/11/15 00:51:19 10.61.131.1     901.70
 2018/11/15 00:51:25 10.61.132.1     0s
 2018/11/15 00:51:31 10.61.6.1       0s
 2018/11/15 00:59:32 10.61.128.1     1.0356
 2018/11/15 00:59:33 10.61.129.1     954.68
 2018/11/15 00:59:34 10.61.130.1     867.71
 2018/11/15 00:59:35 10.61.131.1     921.70
 2018/11/15 00:59:41 10.61.132.1     0s
 2018/11/15 00:59:47 10.61.6.1       0s
 2018/11/15 00:59:53 10.61.8.1       0s
 2018/11/15 00:59:59 10.56.41.161    0s
 2018/11/15 01:00:00 10.56.41.193    896.69
 2018/11/15 01:00:06 10.61.1.1       0s
 2018/11/15 01:00:07 10.61.129.144   929.66
 2018/11/15 01:00:13 10.61.133.1     0s
 2018/11/15 01:00:19 10.61.2.1       0s
 2018/11/15 01:08:25 10.61.133.1     0s
 2018/11/15 01:08:31 10.61.2.1       0s
 2018/11/15 01:08:37 10.56.41.161    0s
 2018/11/15 01:08:38 10.56.41.193    956.68
 2018/11/15 01:08:44 10.61.1.1       0s
 2018/11/15 01:08:44 10.61.129.144   897.67
 2018/11/15 01:08:50 10.61.132.1     0s
 2018/11/15 01:08:56 10.61.6.1       0s
 2018/11/15 01:09:02 10.61.8.1       0s
 2018/11/15 01:09:03 10.61.128.1     904.70
 2018/11/15 01:09:04 10.61.129.1     897.70
 2018/11/15 01:09:05 10.61.130.1     968.68
 2018/11/15 01:09:06 10.61.131.1     901.70
 2018/11/15 01:17:07 10.61.128.1     892.68
 2018/11/15 01:17:08 10.61.129.1     908.70
 2018/11/15 01:17:09 10.61.130.1     906.70
