 2018/11/19 01:12:26 10.61.2.1       960.69
 2018/11/19 01:12:32 10.61.6.1       0s
 2018/11/19 01:20:33 10.61.129.144   959.67
 2018/11/19 01:20:34 10.61.131.1     951.69
 2018/11/19 01:20:40 10.61.133.1     0s
 2018/11/19 01:20:46 10.56.41.161    0s
 2018/11/19 01:20:47 10.61.129.1     1.0006
 2018/11/19 01:20:48 10.61.130.1     932.69
 2018/11/19 01:20:54 10.61.132.1     0s
 2018/11/19 01:20:55 10.61.130.144   1.0436
 2018/11/19 01:20:56 10.56.41.193    1.0206
 2018/11/19 01:21:02 10.61.8.1       0s
 2018/11/19 01:21:03 10.61.2.1       978.65
 2018/11/19 01:21:09 10.61.6.1       0s
 2018/11/19 01:21:15 10.61.1.1       0s
 2018/11/19 01:21:16 10.61.128.1     959.65
 2018/11/19 01:29:22 10.61.1.1       0s
 2018/11/19 01:29:23 10.61.128.1     953.65
 2018/11/19 01:29:24 10.61.2.1       963.68
 2018/11/19 01:29:30 10.61.6.1       0s
 2018/11/19 01:29:36 10.56.41.161    0s
 2018/11/19 01:29:37 10.61.129.1     963.68
 2018/11/19 01:29:38 10.61.129.144   1.1986
 2018/11/19 01:29:39 10.61.131.1     1.1406
 2018/11/19 01:29:45 10.61.133.1     0s
 2018/11/19 01:29:46 10.61.130.1     945.66
 2018/11/19 01:29:52 10.61.132.1     0s
 2018/11/19 01:29:53 10.56.41.193    994.67
 2018/11/19 01:29:59 10.61.8.1       0s
 2018/11/19 01:30:01 10.61.130.144   1.3815
 2018/11/19 01:38:07 10.61.6.1       0s
 2018/11/19 01:38:13 10.61.1.1       0s
 2018/11/19 01:38:14 10.61.128.1     1.0146
 2018/11/19 01:38:15 10.61.2.1       981.68
 2018/11/19 01:38:16 10.61.131.1     937.69
 2018/11/19 01:38:22 10.61.133.1     0s
 2018/11/19 01:38:28 10.56.41.161    0s
 2018/11/19 01:38:29 10.61.129.1     950.69
 2018/11/19 01:38:30 10.61.129.144   985.68
 2018/11/19 01:38:31 10.61.130.1     977.68
 2018/11/19 01:38:37 10.61.132.1     0s
 2018/11/19 01:38:39 10.56.41.193    2.0933
 2018/11/19 01:38:45 10.61.8.1       0s
 2018/11/19 01:38:46 10.61.130.144   1.0276
 2018/11/19 01:46:47 10.61.130.1     961.68
 2018/11/19 01:46:53 10.61.132.1     0s
 2018/11/19 01:46:54 10.56.41.193    1.0286
 2018/11/19 01:47:00 10.61.8.1       0s
 2018/11/19 01:47:01 10.61.130.144   1.0236
 2018/11/19 01:47:07 10.61.1.1       0s
 2018/11/19 01:47:08 10.61.128.1     966.65
 2018/11/19 01:47:09 10.61.2.1       1.0036
 2018/11/19 01:47:15 10.61.6.1       0s
 2018/11/19 01:47:21 10.56.41.161    0s
 2018/11/19 01:47:22 10.61.129.1     1.2735
 2018/11/19 01:47:24 10.61.129.144   1.1696
 2018/11/19 01:47:25 10.61.131.1     1.1786
 2018/11/19 01:47:31 10.61.133.1     0s
 2018/11/19 01:55:32 10.61.131.1     941.69
 2018/11/19 01:55:38 10.61.133.1     0s
 2018/11/19 01:55:44 10.56.41.161    0s
 2018/11/19 01:55:45 10.61.129.1     943.69
 2018/11/19 01:55:46 10.61.129.144   973.68
 2018/11/19 01:55:47 10.61.130.1     929.69
 2018/11/19 01:55:53 10.61.132.1     0s
 2018/11/19 01:55:54 10.56.41.193    1.0276
 2018/11/19 01:56:00 10.61.8.1       0s
 2018/11/19 01:56:01 10.61.130.144   1.0006
 2018/11/19 01:56:07 10.61.6.1       0s
 2018/11/19 01:56:13 10.61.1.1       0s
 2018/11/19 01:56:14 10.61.128.1     941.69
 2018/11/19 01:56:15 10.61.2.1       1.0116
 2018/11/19 02:04:21 10.56.41.161    0s
 2018/11/19 02:04:22 10.61.129.1     1.0476
 2018/11/19 02:04:23 10.61.129.144   1.0846
 2018/11/19 02:04:24 10.61.131.1     946.69
 2018/11/19 02:04:30 10.61.133.1     0s
 2018/11/19 02:04:31 10.61.130.1     1.0736
 2018/11/19 02:04:37 10.61.132.1     0s
 2018/11/19 02:04:38 10.56.41.193    1.0426
 2018/11/19 02:04:44 10.61.8.1       0s
 2018/11/19 02:04:45 10.61.130.144   962.65
 2018/11/19 02:04:51 10.61.1.1       0s
 2018/11/19 02:04:52 10.61.128.1     937.66
 2018/11/19 02:04:54 10.61.2.1       1.6284
 2018/11/19 02:05:00 10.61.6.1       0s
 2018/11/19 02:13:01 10.61.130.1     1.0306
 2018/11/19 02:13:07 10.61.132.1     0s
 2018/11/19 02:13:08 10.61.130.144   1.0486
 2018/11/19 02:13:10 10.56.41.193    1.8623
 2018/11/19 02:13:16 10.61.8.1       0s
 2018/11/19 02:13:17 10.61.2.1       984.68
 2018/11/19 02:13:23 10.61.6.1       0s
 2018/11/19 02:13:29 10.61.1.1       0s
 2018/11/19 02:13:30 10.61.128.1     1.0816
 2018/11/19 02:13:31 10.61.129.144   1.1666
 2018/11/19 02:13:32 10.61.131.1     944.69
 2018/11/19 02:13:38 10.61.133.1     0s
 2018/11/19 02:13:44 10.56.41.161    0s
 2018/11/19 02:13:45 10.61.129.1     1.0396
 2018/11/19 02:21:46 10.56.41.193    941.66
 2018/11/19 02:21:52 10.61.8.1       0s
 2018/11/19 02:21:53 10.61.130.144   951.69
 2018/11/19 02:21:59 10.61.1.1       0s
 2018/11/19 02:22:00 10.61.128.1     964.68
 2018/11/19 02:22:01 10.61.2.1       968.68
 2018/11/19 02:22:07 10.61.6.1       0s
 2018/11/19 02:22:13 10.56.41.161    0s
 2018/11/19 02:22:14 10.61.129.1     1.3505
 2018/11/19 02:22:15 10.61.129.144   1.0026
 2018/11/19 02:22:16 10.61.131.1     898.70
 2018/11/19 02:22:22 10.61.133.1     0s
 2018/11/19 02:22:23 10.61.130.1     891.70
 2018/11/19 02:22:29 10.61.132.1     0s
 2018/11/19 02:30:35 10.56.41.161    0s
 2018/11/19 02:30:36 10.61.129.1     888.68
 2018/11/19 02:30:37 10.61.129.144   953.69
 2018/11/19 02:30:38 10.61.131.1     966.68
 2018/11/19 02:30:44 10.61.133.1     0s
 2018/11/19 02:30:45 10.61.130.1     962.68
 2018/11/19 02:30:51 10.61.132.1     0s
 2018/11/19 02:30:52 10.56.41.193    977.68
 2018/11/19 02:30:58 10.61.8.1       0s
 2018/11/19 02:30:59 10.61.130.144   963.68
 2018/11/19 02:31:05 10.61.1.1       0s
 2018/11/19 02:31:06 10.61.128.1     999.67
 2018/11/19 02:31:07 10.61.2.1       1.3365
 2018/11/19 02:31:13 10.61.6.1       0s
 2018/11/19 02:39:19 10.61.1.1       0s
 2018/11/19 02:39:21 10.61.128.1     1.2065
 2018/11/19 02:39:22 10.61.2.1       1.1546
 2018/11/19 02:39:28 10.61.6.1       0s
 2018/11/19 02:39:34 10.56.41.161    0s
 2018/11/19 02:39:35 10.61.129.1     910.70
 2018/11/19 02:39:36 10.61.129.144   923.69
 2018/11/19 02:39:37 10.61.131.1     938.69
 2018/11/19 02:39:43 10.61.133.1     0s
 2018/11/19 02:39:44 10.61.130.1     1.0656
 2018/11/19 02:39:50 10.61.132.1     0s
 2018/11/19 02:39:51 10.56.41.193    1.0096
 2018/11/19 02:39:57 10.61.8.1       0s
 2018/11/19 02:39:58 10.61.130.144   1.0976
 2018/11/19 02:47:59 10.61.130.1     1.0016
 2018/11/19 02:48:05 10.61.132.1     0s
 2018/11/19 02:48:06 10.56.41.193    991.67
 2018/11/19 02:48:12 10.61.8.1       0s
 2018/11/19 02:48:13 10.61.130.144   948.69
 2018/11/19 02:48:19 10.61.1.1       0s
 2018/11/19 02:48:20 10.61.128.1     931.69
 2018/11/19 02:48:21 10.61.2.1       953.69
 2018/11/19 02:48:27 10.61.6.1       0s
 2018/11/19 02:48:33 10.56.41.161    0s
 2018/11/19 02:48:34 10.61.129.1     955.69
 2018/11/19 02:48:35 10.61.129.144   969.68
 2018/11/19 02:48:36 10.61.131.1     977.68
 2018/11/19 02:48:42 10.61.133.1     0s
 2018/11/19 02:56:43 10.56.41.193    983.68
 2018/11/19 02:56:49 10.61.8.1       0s
 2018/11/19 02:56:50 10.61.130.144   987.67
 2018/11/19 02:56:56 10.61.1.1       0s
 2018/11/19 02:56:57 10.61.128.1     976.68
 2018/11/19 02:56:58 10.61.2.1       944.69
 2018/11/19 02:57:04 10.61.6.1       0s
 2018/11/19 02:57:10 10.56.41.161    0s
 2018/11/19 02:57:11 10.61.129.1     917.70
 2018/11/19 02:57:12 10.61.129.144   969.68
 2018/11/19 02:57:13 10.61.131.1     966.68
 2018/11/19 02:57:19 10.61.133.1     0s
 2018/11/19 02:57:20 10.61.130.1     914.70
 2018/11/19 02:57:26 10.61.132.1     0s
 2018/11/19 03:05:28 10.56.41.193    2.1053
 2018/11/19 03:05:34 10.61.8.1       0s
 2018/11/19 03:05:35 10.61.130.144   933.69
 2018/11/19 03:05:41 10.61.1.1       0s
 2018/11/19 03:05:42 10.61.128.1     947.69
 2018/11/19 03:05:43 10.61.2.1       993.67
 2018/11/19 03:05:49 10.61.6.1       0s
 2018/11/19 03:05:55 10.56.41.161    0s
 2018/11/19 03:05:56 10.61.129.1     920.70
 2018/11/19 03:05:57 10.61.129.144   974.68
 2018/11/19 03:05:58 10.61.131.1     982.68
 2018/11/19 03:06:04 10.61.133.1     0s
 2018/11/19 03:06:05 10.61.130.1     940.69
 2018/11/19 03:06:11 10.61.132.1     0s
 2018/11/19 03:14:12 10.61.130.1     961.68
 2018/11/19 03:14:18 10.61.132.1     0s
 2018/11/19 03:14:19 10.56.41.193    1.1896
 2018/11/19 03:14:25 10.61.8.1       0s
 2018/11/19 03:14:26 10.61.130.144   999.65
 2018/11/19 03:14:32 10.61.1.1       0s
 2018/11/19 03:14:33 10.61.128.1     964.67
 2018/11/19 03:14:34 10.61.2.1       960.68
 2018/11/19 03:14:40 10.61.6.1       0s
