 2019/04/23 00:00:01 10.61.128.1     951.68
 2019/04/23 00:00:02 10.61.129.1     844.58
 2019/04/23 00:00:08 10.61.2.1       0s
 2019/04/23 00:00:14 10.61.133.1     0s
 2019/04/23 00:00:15 10.56.41.193    839.89
 2019/04/23 00:00:21 10.61.1.1       0s
 2019/04/23 00:00:21 10.61.129.144   918.76
 2019/04/23 00:00:22 10.61.131.1     983.10
 2019/04/23 00:00:28 10.61.132.1     0s
 2019/04/23 00:00:29 10.61.6.1       929.55
 2019/04/23 00:00:35 10.61.8.1       0s
 2019/04/23 00:00:41 10.43.203.65    0s
 2019/04/23 00:00:47 10.56.41.161    0s
 2019/04/23 00:00:48 10.61.130.1     933.34
 2019/04/23 00:00:49 10.61.6.1       895.38
 2019/04/23 00:00:50 10.56.41.193    917.20
 2019/04/23 00:00:56 10.61.132.1     0s
 2019/04/23 00:01:02 10.61.2.1       0s
 2019/04/23 00:01:08 10.43.203.65    0s
 2019/04/23 00:01:09 10.61.129.1     855.05
 2019/04/23 00:01:10 10.61.131.1     816.51
 2019/04/23 00:01:16 10.61.8.1       0s
 2019/04/23 00:01:22 10.61.1.1       0s
 2019/04/23 00:01:23 10.61.129.144   1.1760
 2019/04/23 00:01:24 10.61.130.1     934.56
 2019/04/23 00:01:30 10.56.41.161    0s
 2019/04/23 00:01:31 10.61.128.1     852.25
 2019/04/23 00:01:37 10.61.133.1     0s
 2019/04/23 00:10:01 10.61.128.1     1.0435
 2019/04/23 00:10:03 10.61.129.144   1.1251
 2019/04/23 00:10:04 10.61.131.1     971.99
 2019/04/23 00:10:10 10.61.132.1     0s
 2019/04/23 00:10:16 10.61.2.1       0s
 2019/04/23 00:10:17 10.61.6.1       940.64
 2019/04/23 00:10:18 10.56.41.193    982.30
 2019/04/23 00:10:24 10.61.133.1     0s
 2019/04/23 00:10:25 10.61.129.1     1.0934
 2019/04/23 00:10:26 10.61.130.1     985.59
 2019/04/23 00:10:32 10.61.8.1       0s
 2019/04/23 00:10:38 10.43.203.65    0s
 2019/04/23 00:10:44 10.56.41.161    0s
 2019/04/23 00:10:50 10.61.1.1       0s
 2019/04/23 00:20:02 10.61.129.144   1.0750
 2019/04/23 00:20:08 10.61.132.1     0s
 2019/04/23 00:20:14 10.61.133.1     0s
 2019/04/23 00:20:20 10.61.8.1       0s
 2019/04/23 00:20:26 10.56.41.161    0s
 2019/04/23 00:20:26 10.56.41.193    860.70
 2019/04/23 00:20:32 10.61.1.1       0s
 2019/04/23 00:20:34 10.61.130.1     1.1619
 2019/04/23 00:20:40 10.61.2.1       0s
 2019/04/23 00:20:40 10.61.129.1     894.93
 2019/04/23 00:20:41 10.61.6.1       900.81
 2019/04/23 00:20:47 10.43.203.65    0s
 2019/04/23 00:20:48 10.61.128.1     961.57
 2019/04/23 00:20:49 10.61.131.1     903.78
 2019/04/23 00:30:06 10.61.132.1     0s
 2019/04/23 00:30:12 10.61.2.1       0s
 2019/04/23 00:30:18 10.61.8.1       0s
 2019/04/23 00:30:19 10.61.129.1     924.98
 2019/04/23 00:30:20 10.61.130.1     997.52
 2019/04/23 00:30:21 10.61.129.144   806.92
 2019/04/23 00:30:27 10.61.133.1     0s
 2019/04/23 00:30:33 10.61.6.1       0s
 2019/04/23 00:30:39 10.43.203.65    0s
 2019/04/23 00:30:40 10.56.41.193    869.80
 2019/04/23 00:30:41 10.61.128.1     931.14
 2019/04/23 00:30:42 10.61.131.1     1.0156
 2019/04/23 00:30:48 10.56.41.161    0s
 2019/04/23 00:30:54 10.61.1.1       0s
 2019/04/23 00:40:06 10.43.203.65    0s
 2019/04/23 00:40:07 10.61.128.1     926.42
 2019/04/23 00:40:08 10.61.129.1     1.0202
 2019/04/23 00:40:09 10.61.129.144   863.00
 2019/04/23 00:40:15 10.61.133.1     0s
 2019/04/23 00:40:21 10.61.2.1       0s
 2019/04/23 00:40:27 10.56.41.161    0s
 2019/04/23 00:40:28 10.61.130.1     1.1000
 2019/04/23 00:40:34 10.61.8.1       0s
 2019/04/23 00:40:40 10.61.1.1       0s
 2019/04/23 00:40:41 10.56.41.193    884.27
 2019/04/23 00:40:42 10.61.131.1     930.82
 2019/04/23 00:40:48 10.61.132.1     0s
 2019/04/23 00:40:49 10.61.6.1       922.05
 2019/04/23 00:50:06 10.56.41.161    0s
 2019/04/23 00:50:07 10.61.131.1     870.43
 2019/04/23 00:50:13 10.61.2.1       0s
 2019/04/23 00:50:19 10.61.8.1       0s
 2019/04/23 00:50:21 10.56.41.193    1.3163
 2019/04/23 00:50:22 10.61.129.1     895.29
 2019/04/23 00:50:28 10.61.132.1     0s
 2019/04/23 00:50:34 10.61.133.1     0s
 2019/04/23 00:50:40 10.43.203.65    0s
 2019/04/23 00:50:46 10.61.1.1       0s
 2019/04/23 00:50:46 10.61.129.144   849.60
 2019/04/23 00:50:50 10.61.6.1       705.80
 2019/04/23 00:50:51 10.61.128.1     901.85
 2019/04/23 00:50:52 10.61.130.1     887.18
 2019/04/23 01:00:01 10.61.128.1     901.65
 2019/04/23 01:00:02 10.61.129.144   944.59
 2019/04/23 01:00:03 10.61.6.1       941.38
 2019/04/23 01:00:09 10.61.8.1       0s
 2019/04/23 01:00:10 10.56.41.193    827.24
 2019/04/23 01:00:16 10.61.1.1       0s
 2019/04/23 01:00:17 10.61.130.1     1.0021
 2019/04/23 01:00:23 10.61.132.1     0s
 2019/04/23 01:00:24 10.61.131.1     923.92
 2019/04/23 01:00:30 10.61.2.1       0s
 2019/04/23 01:00:36 10.43.203.65    0s
 2019/04/23 01:00:37 10.61.129.1     993.43
 2019/04/23 01:00:43 10.56.41.161    0s
 2019/04/23 01:00:49 10.61.133.1     0s
 2019/04/23 01:10:06 10.61.132.1     0s
 2019/04/23 01:10:07 10.61.131.1     994.27
 2019/04/23 01:10:09 10.61.129.144   1.0239
 2019/04/23 01:10:15 10.61.2.1       0s
 2019/04/23 01:10:18 10.61.6.1       707.04
 2019/04/23 01:10:19 10.61.129.1     1.1409
 2019/04/23 01:10:25 10.61.8.1       0s
 2019/04/23 01:10:31 10.56.41.161    0s
 2019/04/23 01:10:32 10.56.41.193    897.42
 2019/04/23 01:10:38 10.61.1.1       0s
 2019/04/23 01:10:39 10.61.128.1     982.67
 2019/04/23 01:10:40 10.61.130.1     1.1451
 2019/04/23 01:10:46 10.61.133.1     0s
 2019/04/23 01:10:52 10.43.203.65    0s
 2019/04/23 01:20:01 10.56.41.193    873.31
 2019/04/23 01:20:07 10.43.203.65    0s
 2019/04/23 01:20:13 10.56.41.161    0s
 2019/04/23 01:20:19 10.61.1.1       0s
 2019/04/23 01:20:20 10.61.128.1     877.76
 2019/04/23 01:20:21 10.61.129.1     926.40
 2019/04/23 01:20:22 10.61.130.1     850.45
 2019/04/23 01:20:23 10.61.131.1     904.72
 2019/04/23 01:20:29 10.61.133.1     0s
 2019/04/23 01:20:35 10.61.2.1       0s
 2019/04/23 01:20:36 10.61.6.1       919.50
 2019/04/23 01:20:42 10.61.8.1       0s
 2019/04/23 01:20:43 10.61.129.144   1.1705
 2019/04/23 01:20:49 10.61.132.1     0s
 2019/04/23 01:30:06 10.61.8.1       0s
 2019/04/23 01:30:12 10.43.203.65    0s
 2019/04/23 01:30:13 10.56.41.193    852.51
 2019/04/23 01:30:19 10.61.1.1       0s
 2019/04/23 01:30:20 10.61.129.1     1.0842
 2019/04/23 01:30:21 10.61.129.144   1.0076
 2019/04/23 01:30:22 10.61.131.1     932.25
 2019/04/23 01:30:23 10.61.128.1     1.0001
 2019/04/23 01:30:29 10.61.133.1     0s
 2019/04/23 01:30:35 10.56.41.161    0s
 2019/04/23 01:30:36 10.61.130.1     1.0604
 2019/04/23 01:30:42 10.61.132.1     0s
 2019/04/23 01:30:48 10.61.2.1       0s
 2019/04/23 01:30:52 10.61.6.1       843.58
 2019/04/23 01:40:01 10.61.6.1       941.65
 2019/04/23 01:40:07 10.61.1.1       0s
 2019/04/23 01:40:08 10.61.129.144   847.67
 2019/04/23 01:40:09 10.61.130.1     935.24
 2019/04/23 01:40:10 10.61.131.1     909.94
 2019/04/23 01:40:16 10.61.8.1       0s
 2019/04/23 01:40:22 10.61.132.1     0s
 2019/04/23 01:40:28 10.61.133.1     0s
 2019/04/23 01:40:34 10.43.203.65    0s
 2019/04/23 01:40:40 10.56.41.161    0s
 2019/04/23 01:40:41 10.56.41.193    883.46
 2019/04/23 01:40:42 10.61.128.1     840.72
 2019/04/23 01:40:43 10.61.129.1     1.0241
 2019/04/23 01:40:49 10.61.2.1       0s
