 2018/11/14 00:02:15 10.56.41.193    832.73
 2018/11/14 00:02:16 10.61.128.1     867.71
 2018/11/14 00:02:17 10.61.130.1     956.69
 2018/11/14 00:02:23 10.61.133.1     0s
 2018/11/14 00:02:29 10.61.132.1     0s
 2018/11/14 00:02:35 10.61.2.1       0s
 2018/11/14 00:02:41 10.61.6.1       0s
 2018/11/14 00:02:47 10.56.41.161    0s
 2018/11/14 00:02:53 10.61.1.1       0s
 2018/11/14 00:02:54 10.61.129.1     1.0306
 2018/11/14 00:02:55 10.61.129.144   1.0476
 2018/11/14 00:02:56 10.61.131.1     860.72
 2018/11/14 00:03:02 10.61.8.1       0s
 2018/11/14 00:03:04 10.56.41.161    0s
 2018/11/14 00:03:05 10.61.129.1     870.71
 2018/11/14 00:03:06 10.61.129.144   924.69
 2018/11/14 00:03:07 10.61.131.1     841.72
 2018/11/14 00:03:13 10.61.2.1       0s
 2018/11/14 00:03:19 10.61.6.1       0s
 2018/11/14 00:03:19 10.56.41.193    839.72
 2018/11/14 00:03:25 10.61.1.1       0s
 2018/11/14 00:03:26 10.61.128.1     845.69
 2018/11/14 00:03:27 10.61.130.1     982.67
 2018/11/14 00:03:33 10.61.132.1     0s
 2018/11/14 00:03:39 10.61.133.1     0s
 2018/11/14 00:03:45 10.61.8.1       0s
 2018/11/14 00:11:03 10.61.129.144   847.69
 2018/11/14 00:11:04 10.61.131.1     852.72
 2018/11/14 00:11:10 10.61.132.1     0s
 2018/11/14 00:11:16 10.61.2.1       0s
 2018/11/14 00:11:22 10.61.6.1       0s
 2018/11/14 00:11:28 10.56.41.161    0s
 2018/11/14 00:11:34 10.61.1.1       0s
 2018/11/14 00:11:35 10.61.129.1     935.68
 2018/11/14 00:11:41 10.61.8.1       0s
 2018/11/14 00:11:46 10.61.130.1     935.69
 2018/11/14 00:11:47 10.61.133.1     0s
 2018/11/14 00:11:48 10.56.41.193    866.69
 2018/11/14 00:11:49 10.61.128.1     897.69
 2018/11/14 00:11:50 10.61.130.1     1.0826
