 2018/11/10 00:00:32 10.61.128.1     850.69
 2018/11/10 00:00:33 10.61.129.1     879.71
 2018/11/10 00:00:39 10.61.132.1     0s
 2018/11/10 00:00:45 10.61.133.1     0s
 2018/11/10 00:00:51 10.61.2.1       0s
 2018/11/10 00:00:57 10.61.6.1       0s
 2018/11/10 00:01:03 10.56.41.161    0s
 2018/11/10 00:01:04 10.56.41.193    901.67
 2018/11/10 00:01:10 10.61.1.1       0s
 2018/11/10 00:01:11 10.61.129.144   1.1196
 2018/11/10 00:01:12 10.61.130.1     1.0856
 2018/11/10 00:01:13 10.61.131.1     886.74
 2018/11/10 00:01:19 10.61.8.1       0s
 2018/11/10 00:09:20 10.61.128.1     838.69
 2018/11/10 00:09:22 10.61.129.1     1.4575
 2018/11/10 00:09:28 10.61.132.1     0s
 2018/11/10 00:09:34 10.61.133.1     0s
 2018/11/10 00:09:34 10.61.130.1     866.72
 2018/11/10 00:09:35 10.61.131.1     917.70
 2018/11/10 00:09:41 10.61.2.1       0s
 2018/11/10 00:09:47 10.61.6.1       0s
 2018/11/10 00:09:53 10.56.41.161    0s
 2018/11/10 00:09:54 10.56.41.193    958.65
 2018/11/10 00:10:00 10.61.1.1       0s
 2018/11/10 00:10:01 10.61.129.144   891.68
 2018/11/10 00:10:07 10.61.8.1       0s
 2018/11/10 00:18:13 10.56.41.161    0s
 2018/11/10 00:18:14 10.56.41.193    970.66
 2018/11/10 00:18:20 10.61.1.1       0s
 2018/11/10 00:18:26 10.61.129.144   0s
 2018/11/10 00:18:27 10.61.130.1     984.68
 2018/11/10 00:18:28 10.61.131.1     943.69
 2018/11/10 00:18:34 10.61.2.1       0s
 2018/11/10 00:18:40 10.61.6.1       0s
 2018/11/10 00:18:46 10.61.8.1       0s
 2018/11/10 00:18:47 10.61.128.1     894.68
 2018/11/10 00:18:48 10.61.129.1     877.71
 2018/11/10 00:18:54 10.61.132.1     0s
 2018/11/10 00:19:00 10.61.133.1     0s
 2018/11/10 00:27:06 10.56.41.161    0s
 2018/11/10 00:27:07 10.56.41.193    939.68
 2018/11/10 00:27:13 10.61.1.1       0s
 2018/11/10 00:27:14 10.61.129.144   888.69
 2018/11/10 00:27:15 10.61.130.1     882.71
 2018/11/10 00:27:16 10.61.131.1     898.70
 2018/11/10 00:27:22 10.61.2.1       0s
 2018/11/10 00:27:28 10.61.6.1       0s
 2018/11/10 00:27:34 10.61.8.1       0s
 2018/11/10 00:27:34 10.61.128.1     855.69
 2018/11/10 00:27:36 10.61.129.1     1.0636
 2018/11/10 00:27:42 10.61.132.1     0s
 2018/11/10 00:27:48 10.61.133.1     0s
 2018/11/10 00:29:36 10.61.128.1     863.68
 2018/11/10 00:29:37 10.61.129.1     849.72
